table,exists_in_prod,referenced_by_backend,referenced_by_frontend,writers,readers,columns_read,columns_written,pk,fk,not_null,criticality,confidence
memory_entries,YES,YES,NO,api.py;routers/firm_memory.py,api.py;routers/firm_memory.py;routers/proof.py,aktivan;confidence;created_at;entity_id;entity_name;entity_type;expires_at;id;izvor;kancelarija_id;potvrde_count;potvrdjeno_od;sadrzaj;tip;vaznost;zastarela,aktivan;confidence;entity_id;entity_name;entity_type;kancelarija_id;kontekst;potvrde_count;potvrdjeno_od;sadrzaj;tip;updated_at;user_id;vaznost;zastarela,id,kancelarija_id->kancelarije.id,entity_id;entity_type;id;kancelarija_id;sadrzaj;tip,P0,PROVEN
memory_graph_edges,YES,YES,NO,routers/memory_graph.py,routers/memory_graph.py,from_id;from_naziv;from_type;ishod;kancelarija_id;kontekst;predmet_id;relacija;snaga;to_id;to_naziv;to_type,from_id;from_naziv;from_type;ishod;kancelarija_id;kontekst;predmet_id;relacija;snaga;to_id;to_naziv;to_type,id,kancelarija_id->kancelarije.id,from_id;from_type;id;kancelarija_id;relacija;to_id;to_type,P0,PROVEN
notification_log,YES,YES,NO,routers/admin_dashboard.py;shared/notify_quiet.py,routers/admin_dashboard.py;routers/proof.py;routers/sms.py,delivery_status;id;ref_id;sent_at;tip;user_id,channel;delivery_status;error_message;message_text;ref_id;tip;user_id,id,-,channel;delivery_status;id;sent_at;tip,P0,PROVEN
notifications,YES,YES,NO,routers/notifications.py;services/case_evolution.py,routers/notifications.py;services/case_evolution.py,created_at;dedupe_key;id;predmet_id;procitano;tip;user_id,naslov;poruka;predmet_id;prioritet;procitano;tip;user_id,id,predmet_id->predmeti.id,created_at;id;naslov;poruka;prioritet;procitano;tip;user_id,P0,PROVEN/PARTIAL
onboarding_email_log,YES,YES,NO,routers/email_notif.py,routers/email_notif.py;routers/product_intelligence.py,id;tip;user_id,email;tip;user_id,id,-,id;poslato_at;tip;user_id,P0,PROVEN
onboarding_state,YES,YES,NO,routers/onboarding.py,routers/onboarding.py,id;user_id,updated_at;user_id,id,-,id;user_id,P0,PROVEN
outcome_log,YES,YES,NO,routers/learning.py;services/learning_engine.py;tests/test_sprint1_background_tasks.py,routers/decision_replay.py;routers/learning.py;services/confidence_auditor.py;services/learning_engine.py,created_at;ishod;komentar;kontekst_poraza;predmet_id;presudni_faktori;tip_spora;trajanje_meseci;user_id;uzroci,id;ishod;komentar;kontekst_poraza;predmet_id;presudni_faktori;tip_spora;trajanje_meseci;updated_at;user_id;uzroci;vrednost_spora_rsd,id,-,id;ishod;predmet_id;user_id,P0,PROVEN
partner_profiles,YES,YES,NO,-,api.py;routers/firm_memory.py,kancelarija_id;odbijene_strategije;partner_uid;preferira_bullet;preferira_formalan;preferira_krace;preferirane_fraze,-,id,kancelarija_id->kancelarije.id,id;kancelarija_id;partner_uid,P0,PROVEN
pinecone_capacity_snapshots,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py,estimated_bytes;namespace;snapshot_date;vector_count,estimated_bytes;namespace;snapshot_date;vector_count,id,-,created_at;estimated_bytes;id;namespace;snapshot_date;vector_count,P2,PROVEN
plan_limits,YES,NO,NO,-,-,-,-,plan_type,-,plan_type,P1,PROVEN
portal_status_log,YES,YES,NO,routers/portal_monitoring.py,routers/portal_monitoring.py;services/agent_tasks/court_portal_watcher.py,created_at;new_status;praceni_predmet_id;response_ms;result_kind;status_datum;status_tekst;user_id,new_status;old_status;praceni_predmet_id;response_ms;result_kind;run_id;source;status_datum;status_tekst;user_id,id,praceni_predmet_id->praceni_predmeti.id,created_at;id;praceni_predmet_id;source;status_datum;status_tekst;user_id,P0,PROVEN
praceni_predmeti,YES,YES,NO,routers/portal_monitoring.py,routers/onboarding.py;routers/portal_monitoring.py;routers/proof.py;services/agent_tasks/court_portal_watcher.py,aktivan;broj_predmeta;consecutive_failures;created_at;current_status;id;naziv;poslednja_provera;poslednji_status;poslednji_status_datum;predmet_id;sud_naziv;user_id,aktivan;broj_predmeta;naziv;poslednji_status;poslednji_status_datum;predmet_id;sud_kod;sud_naziv;user_id,id,-,aktivan;broj_predmeta;consecutive_failures;created_at;current_status;id;naziv;poslednji_status;poslednji_status_datum;predmet_id;sud_kod;sud_naziv;user_id,P0,PROVEN
predictor_analize,YES,YES,NO,routers/court_predictor.py,routers/court_predictor.py,id;user_id,analiza;opis;predmet_id;tip_analize;tip_postupka;user_id,id,-,created_at;id;user_id,P0,PROVEN
predmet_beleske,YES,YES,NO,api.py;routers/copilot.py;routers/doc_templates.py;routers/rocista.py;shared/voice_tools.py,api.py;routers/copilot.py;routers/dashboard.py;routers/data_export.py;routers/export.py;routers/hearing_cc.py;routers/inbox.py;routers/notifications.py;routers/portfolio.py;routers/search.py;tests/test_sec001_predmet_ownership.py,*;created_at;id;predmet_id;sadrzaj;user_id,predmet_id;sadrzaj;tekst;tip;user_id,id,predmet_id->predmeti.id,created_at;id;predmet_id;sadrzaj;updated_at;user_id,P0,PROVEN
predmet_delegiranja,YES,YES,NO,routers/enterprise.py,api.py;routers/enterprise.py;shared/rag_acl.py;shared/vector_deletion.py,created_at;id;na_user_id;od_user_id;predmet_id;status,na_user_id;napomena;od_user_id;predmet_id;status,id,predmet_id->predmeti.id,id;na_user_id;od_user_id;predmet_id,P0,PROVEN
predmet_dokazi,YES,YES,NO,routers/evidence.py,api.py;routers/case_dna.py;routers/ccc.py;routers/dashboard.py;routers/evidence.py;routers/health_index.py;routers/matter_intel.py;routers/zadaci.py;scripts/contract01_e2e_verify.py;services/case_evolution.py;services/case_pipeline.py;services/legal_reasoning_engine.py;shared/case_context.py;tests/test_singlebrain_phase3_fixes.py;tests/test_singular_intelligence_002_fixes.py;tests/test_singular_intelligence_fixes.py,created_at;deleted_at;dokument_id;id;kategorija;pravni_element;predmet_id;snaga;tvrdnja;user_id,deleted_at;dokument_id;kategorija;napomena;pravni_element;predmet_id;snaga;tvrdnja;user_id,id,predmet_id->predmeti.id;dokument_id->predmet_dokumenti.id,id;kategorija;predmet_id;snaga;tvrdnja;user_id,P0,PROVEN/PARTIAL
predmet_dokumenti,YES,YES,NO,api.py;routers/drafting.py;routers/evidence.py;routers/intake.py;routers/onboarding.py;routers/smart_intake.py,api.py;routers/case_commander.py;routers/case_dna.py;routers/case_pipeline.py;routers/ccc.py;routers/copilot.py;routers/cross_doc.py;routers/dashboard.py;routers/data_export.py;routers/digital_twin.py;routers/drafting.py;routers/evidence.py;routers/evidence_graph.py;routers/export.py;routers/health_index.py;routers/inbox.py;routers/intelligence_timeline.py;routers/knowledge_graph.py;routers/matter_intel.py;routers/multi_agent.py;routers/onboarding.py;routers/outcome_intel.py;routers/search.py;routers/smart_intake.py;routers/zadaci.py;routers/zakon_monitoring.py;scripts/genome_bootstrap_sample.py;scripts/genome_case_dna_evaluate.py;services/case_evolution.py;services/case_pipeline.py;shared/case_context.py;shared/vector_deletion.py;tests/test_ccc.py;tests/test_singlebrain_phase3_fixes.py;tests/test_singular_intelligence_002_fixes.py;tests/test_sprint007_bulletproof_intake.py;tests/test_ztc_genome_scale_and_race.py,*;ai_tags;content_sha256;created_at;id;klasifikovan_at;naziv_fajla;pinecone_namespace;pravni_elementi;predmet_id;redni_broj;source_intake_job_id;status;storage_path;tekst_sadrzaj;tip_dokaza;user_id;velicina_kb,ai_tags;klasifikovan_at;naziv_fajla;pinecone_namespace;pravni_elementi;predmet_id;redni_broj;session_id;status;storage_path;tekst_sadrzaj;tip_dokaza;user_id;velicina_kb,id,predmet_id->predmeti.id;source_intake_job_segment_id->intake_job_segments.id;source_intake_job_id->intake_jobs.id,created_at;id;naziv_fajla;pinecone_namespace;predmet_id;status;storage_path;user_id,P0,PROVEN/PARTIAL
predmet_genome_history,YES,YES,NO,routers/case_dna.py,routers/case_dna.py;routers/intelligence_timeline.py;services/case_evolution.py,created_at;id;predmet_id;snaga_procent;trigger_event;user_id;verzija,genome_data;predmet_id;snaga_procent;trigger_event;user_id;verzija,id,predmet_id->predmeti.id,genome_data;id;predmet_id;user_id;verzija,P0,PROVEN
predmet_health_log,YES,YES,NO,routers/matter_intel.py,routers/matter_intel.py,health_score;id;logged_at;predmet_id,health_score;predmet_id;rizik_label,id,predmet_id->predmeti.id,health_score;id;logged_at;predmet_id,P0,PROVEN
predmet_hronologija,YES,YES,NO,api.py;routers/case_dna.py;routers/copilot.py;routers/intake.py;routers/learning.py;routers/onboarding.py;routers/predmeti_close.py;routers/rocista.py;routers/rokovi_lanac.py;routers/smart_intake.py;routers/ugovor_zastupanja.py;services/case_evolution.py;services/case_pipeline.py;tests/test_phoenix_mission_002_concurrency_guards.py,api.py;routers/analytics.py;routers/billing_reports.py;routers/case_dna.py;routers/case_pipeline.py;routers/ccc.py;routers/client_portal.py;routers/conflict_check.py;routers/copilot.py;routers/dashboard.py;routers/data_export.py;routers/email_notif.py;routers/export.py;routers/health_index.py;routers/intelligence_timeline.py;routers/kalendar.py;routers/knowledge_graph.py;routers/matter_intel.py;routers/notifications.py;routers/onboarding.py;routers/outcome_intel.py;routers/portfolio.py;routers/precedenti.py;routers/predmeti_close.py;routers/search.py;routers/sms.py;routers/viber.py;routers/voice.py;services/case_evolution.py;services/case_pipeline.py;shared/case_context.py;tests/test_client_portal.py,*;akter;created_at;datum;datum_iso;dogadjaj;dokument_naziv;id;naziv;predmet_id;tip_roka;user_id;vaznost,akter;datum;datum_iso;dogadjaj;predmet_id;user_id;vaznost,id,predmet_id->predmeti.id,created_at;dogadjaj;id;predmet_id;user_id;vaznost,P0,PROVEN/PARTIAL
predmet_istorija,YES,YES,NO,api.py;routers/matter_intel.py;routers/rocista.py;services/case_pipeline.py,api.py;routers/case_pipeline.py;routers/copilot.py;routers/dashboard.py;routers/hearing_cc.py;routers/inbox.py;routers/matter_intel.py;routers/precedenti.py;scripts/contract01_e2e_verify.py;services/case_pipeline.py;tests/test_sec001_predmet_ownership.py,confidence;created_at;id;odgovor;pitanje;predmet_id;user_id,confidence;odgovor;pitanje;predmet_id;user_id,id,predmet_id->predmeti.id,created_at;id;odgovor;pitanje;predmet_id;user_id,P0,PROVEN
predmet_klijenti,YES,YES,NO,api.py;routers/copilot.py;routers/intake.py;routers/onboarding.py;routers/smart_intake.py;tests/test_mission001_predmet_klijenti.py,api.py;klijenti/router.py;routers/analytics.py;routers/billing.py;routers/case_pipeline.py;routers/ccc.py;routers/conflict_check.py;routers/copilot.py;routers/hearing_cc.py;routers/intake.py;routers/knowledge_graph.py;services/case_pipeline.py,klijent_id;kreirano;napomena;predmet_id;uloga;uloga_klijenta,klijent_id;predmet_id;uloga_klijenta,predmet_id;klijent_id,predmet_id->predmeti.id;klijent_id->klijenti.id,klijent_id;kreirano;predmet_id;uloga_klijenta,P0,PROVEN
predmet_komentari,YES,YES,NO,routers/komentari.py,api.py;routers/case_commander.py;routers/client_twin.py;routers/dashboard.py;routers/data_export.py;routers/digital_twin.py;routers/evidence_graph.py;routers/komentari.py;shared/case_context.py,*;created_at;id;kreirano;predmet_id;tekst;user_id,izmenjeno;predmet_id;tekst;user_id,id,predmet_id->predmeti.id,id;predmet_id;tekst;user_id,P0,PROVEN
predmet_saradnici,YES,YES,NO,routers/saradnja.py,routers/client_portal.py;routers/saradnja.py;tests/test_wave9_collaborator_boundary.py,created_at;id;owner_user_id;predmet_id;saradnik_user_id;uloga,owner_user_id;predmet_id;saradnik_user_id;uloga,id,-,created_at;id;owner_user_id;predmet_id;saradnik_user_id;uloga,P0,PROVEN
predmeti,YES,YES,NO,api.py;routers/case_dna.py;routers/intake.py;routers/integracije.py;routers/learning.py;routers/onboarding.py;routers/predmeti_close.py;routers/smart_intake.py;tests/test_phoenix_mission_002_concurrency_guards.py,api.py;evaluation/phase_0_5/run.py;klijenti/router.py;routers/analytics.py;routers/billing.py;routers/billing_reports.py;routers/case_actions.py;routers/case_commander.py;routers/case_dna.py;routers/case_intelligence.py;routers/case_pipeline.py;routers/ccc.py;routers/cio.py;routers/client_portal.py;routers/client_twin.py;routers/conflict_check.py;routers/copilot.py;routers/copilot_ambient.py;routers/corrections.py;routers/court_predictor.py;routers/dashboard.py;routers/data_export.py;routers/decision_replay.py;routers/digital_twin.py;routers/doc_templates.py;routers/dokument.py;routers/drafting.py;routers/email_notif.py;routers/enterprise.py;routers/evidence.py;routers/evidence_graph.py;routers/export.py;routers/gdpr.py;routers/health_index.py;routers/hearing_cc.py;routers/inbox.py;routers/intake.py;routers/integracije.py;routers/intelligence_timeline.py;routers/kalendar.py;routers/kancelarija.py;routers/knowledge_graph.py;routers/komentari.py;routers/learning.py;routers/matter_intel.py;routers/memory_graph.py;routers/morning_briefing.py;routers/multi_agent.py;routers/notifications.py;routers/onboarding.py;routers/outcome_intel.py;routers/portfolio.py;routers/precedenti.py;routers/predmeti_close.py;routers/rocista.py;routers/rokovi_lanac.py;routers/saradnja.py;routers/search.py;routers/smart_intake.py;routers/sms.py;routers/status_page.py;routers/strategy_simulator.py;routers/ugovor_zastupanja.py;routers/viber.py;routers/voice.py;routers/whatsapp_notif.py;routers/workflow.py;routers/workspace.py;routers/zadaci.py;routers/zakon_monitoring.py;routers/zastarelost.py;scripts/backfill_case_actions.py;scripts/dr_runbook.py;scripts/g027_risk_validation.py;scripts/g034_risk_validation.py;scripts/genome_bootstrap_sample.py;scripts/genome_case_dna_evaluate.py;scripts/verify_backup_restore.py;services/agent_tasks/court_portal_watcher.py;services/agent_tasks/precedents_radar.py;services/case_evolution.py;services/case_pipeline.py;services/event_bus.py;services/learning_engine.py;services/legal_reasoning_engine.py;shared/case_assimilation.py;shared/case_context.py;shared/rag_acl.py;shared/vector_deletion.py;shared/voice_tools.py;tests/test_confidentiality_002_tenant.py;tests/test_dashboard.py;tests/test_rc_beta_flows.py;tests/test_sprint006_finalize_assimilation.py;tests/test_sprint007_bulletproof_intake.py;tests/test_wave11_context_isolation.py;tests/test_wave7_ab_forensics.py;tests/test_ztc_scenario_b_attach.py;workers/background_agents.py,*;broj_predmeta;case_dna;created_at;datum_otvaranja;datum_zatvaranja;id;ishod;klijent_id;naziv;oblast;oblast_prava;opis;protivnik;rizik;status;stranka;stranke;sud;tip;tip_postupka;tip_spora;tuzeni;tuzilac;updated_at;user_id;vrednost_spora,broj_predmeta;case_dna;kanban_faza;naziv;oblast;opis;status;tip;tuzeni;tuzilac;user_id,id,-,created_at;id;naziv;status;tip;updated_at;user_id,P0,PROVEN/PARTIAL
privremeni_pristup,YES,YES,NO,routers/saradnja.py,api.py,iskoriscen;token,dozvole;email_saradnika;iskoriscen;istice_u;predmet_id;token;vlasnik_user_id,id,-,id;istice_u;predmet_id;token;vlasnik_user_id,P0,PROVEN
proactive_alerts,YES,YES,NO,routers/morning_briefing.py;shared/proactive_alerts.py,routers/case_intelligence.py;routers/decision_replay.py;routers/matter_intel.py;routers/morning_briefing.py;tests/test_case_intelligence_briefing_alerts_fix.py;tests/test_program_alpha_canonical_architecture.py;tests/test_sentinel_reliability_fixes.py,created_at;hitnost;id;naslov;opis;predmet_id;procitana;tekst_alerta;tip;tip_alerta;urgentnost;user_id,naslov;opis;predmet_id;procitana;tip;urgentnost;user_id,id,-,id;naslov;tip;user_id,P0,PROVEN
profiles,YES,YES,YES,api.py;routers/benchmarking.py;routers/gdpr.py;static/vindex.js,api.py;routers/benchmarking.py;routers/case_commander.py;routers/client_portal.py;routers/email_notif.py;routers/gdpr.py;routers/morning_briefing.py;routers/predmeti_close.py;routers/product_intelligence.py;routers/saradnja.py;routers/workflow.py;scripts/dr_runbook.py;scripts/verify_backup_restore.py;shared/deps.py;shared/seats.py;tests/test_faza72_5_migration.py,addons;benchmark_opt_in;created_at;digitalna_imovina_aktivirano;digitalna_imovina_standalone;email;full_name;id;is_pro;onboarding_done;plan;registered_at;subscription_expires_at;subscription_seats_extra;subscription_type;trial_kraj,benchmark_opt_in;email;full_name;id;naziv_firme;onboarding_done;plan;specijalizacija;trial_kraj,id,-,addons;credits_remaining;digitalna_imovina_aktivirano;digitalna_imovina_standalone;id;is_pro;onboarding_done;plan;subscription_seats_extra;subscription_type,P0,PROVEN
push_subscriptions,YES,YES,NO,routers/push.py,routers/push.py,auth;endpoint;p256dh;user_id,auth;endpoint;p256dh;user_id,id,-,auth;endpoint;id;p256dh;user_id,P1,PROVEN
ratio_decidendi,NO,YES,NO,routers/praksa.py,routers/praksa.py,decision_number;ratio,decision_number;ratio,-,-,-,P2,PROVEN_ABSENT
reasoning_confidence,YES,YES,NO,services/legal_reasoning_engine.py,evaluation/phase_0_5/run.py;routers/legal_reasoning.py,confidence_total;evidence_coverage;model_certainty;node_id;precedent_support;predmet_id;retrieval_agreement,node_id;predmet_id;user_id,id,-,confidence_total;created_at;evidence_coverage;id;model_certainty;node_id;precedent_support;predmet_id;retrieval_agreement;user_id,P0,PROVEN
reasoning_edges,YES,YES,NO,services/legal_reasoning_engine.py,evaluation/phase_0_5/run.py;routers/legal_reasoning.py,edge_type;from_node_id;graph_id;id;to_node_id,edge_type;from_node_id;graph_id;predmet_id;to_node_id;user_id,id,-,created_at;edge_type;from_node_id;graph_id;id;predmet_id;to_node_id;user_id,P0,PROVEN
reasoning_evidence,YES,YES,NO,services/legal_reasoning_engine.py,-,-,dokaz_id;dokument_id;node_id;predmet_id;user_id,id,-,created_at;id;node_id;predmet_id;user_id,P0,PROVEN
reasoning_graph,YES,YES,NO,services/legal_reasoning_engine.py,routers/legal_reasoning.py;services/legal_reasoning_engine.py,created_at;genome_verzija;greska;id;predmet_id;status;trigger_event;user_id;verzija,genome_verzija;greska;predmet_id;status;trigger_event;user_id;verzija,id,-,created_at;id;predmet_id;status;trigger_event;user_id;verzija,P0,PROVEN
reasoning_nodes,YES,YES,NO,services/legal_reasoning_engine.py,evaluation/phase_0_5/run.py;routers/legal_reasoning.py,created_at;detalji;graph_id;id;label;node_type,detalji;graph_id;label;node_type;predmet_id;user_id,id,-,created_at;detalji;graph_id;id;label;node_type;predmet_id;user_id,P0,PROVEN
reasoning_sources,YES,YES,NO,services/legal_reasoning_engine.py,-,-,clan;node_id;predmet_id;retrieval_score;user_id;zakon,id,-,created_at;id;node_id;predmet_id;user_id,P0,PROVEN
recommendation_log,YES,YES,NO,routers/confidence_audit.py;routers/learning.py;services/learning_engine.py,routers/confidence_audit.py;routers/court_predictor.py;routers/decision_replay.py;routers/learning.py;services/confidence_auditor.py;services/learning_engine.py,bila_tacna;confidence_band;created_at;id;ishod;ishod_pozitivan;izvori_tezina;oblast_prava;predmet_id;preporuka;prihvacena;tip_slucaja;user_id,bila_tacna;id;ishod_pozitivan;kontekst;predmet_id;prihvacena;tekst;tip;user_id,id,-,id;user_id,P0,PROVEN
recurring_templates,YES,YES,NO,routers/recurring.py;tests/test_v36b_recurring_zero_row_guard.py,routers/recurring.py;tests/test_recurring.py,aktivan;id;sledeci_datum;user_id,aktivan;iznos_rsd;klijent_id;naziv;opis;pdv_procenat;predmet_id;sledeci_datum;ucestalost;updated_at;user_id,id,klijent_id->klijenti.id;predmet_id->predmeti.id,id;iznos_rsd;naziv;opis;sledeci_datum;ucestalost;user_id,P0,PROVEN
reported_errors,NO,NO,YES,static/vindex.js,-,-,ai_response;original_prompt;timestamp;user_id,-,-,-,P0,PROVEN_ABSENT
response_audit,YES,TEST_ONLY,NO,-,tests/test_retention_service.py,-,-,id,-,endpoint;id;latency_ms;pipeline_id;query_hash;response_hash;response_len;ts,P1,PROVEN
rocista,YES,YES,NO,routers/rocista.py,api.py;routers/billing_reports.py;routers/case_pipeline.py;routers/ccc.py;routers/client_portal.py;routers/dashboard.py;routers/data_export.py;routers/decision_replay.py;routers/digital_twin.py;routers/email_notif.py;routers/evidence_graph.py;routers/health_index.py;routers/hearing_cc.py;routers/intelligence_timeline.py;routers/kalendar.py;routers/knowledge_graph.py;routers/matter_intel.py;routers/morning_briefing.py;routers/multi_agent.py;routers/rocista.py;routers/sms.py;routers/viber.py;routers/voice.py;routers/whatsapp_notif.py;routers/zadaci.py;services/case_evolution.py;services/case_pipeline.py;services/event_bus.py;shared/case_context.py;tests/test_phoenix_mission_001_archived_case_visibility.py;tests/test_singlebrain2_readiness_unification.py;tests/test_wave11_context_isolation.py,*;broj_predmeta_suda;created_at;datum;id;napomena;naziv;predmet_id;status;sud;sudnica;tip_rocista;user_id;vreme,broj_predmeta_suda;datum;napomena;predmet_id;status;sud;sudnica;updated_at;user_id;vreme,id,predmet_id->predmeti.id,created_at;datum;id;predmet_id;status;sud;updated_at;user_id,P0,PROVEN
rokovi,NO,YES,NO,-,api.py;routers/case_commander.py;routers/dashboard.py;routers/decision_replay.py;routers/integrations.py;routers/morning_briefing.py;routers/whatsapp_notif.py;routers/zadaci.py;routers/zastarelost.py,datum;id;naziv;opis;predmet_id;status;tip;user_id,-,-,-,-,P0,PROVEN_ABSENT
saradnja_audit,YES,YES,NO,routers/saradnja.py,routers/saradnja.py,created_at;predmet_id,akcija;detalji;predmet_id;user_id,id,-,akcija;id;predmet_id,P1,PROVEN
security_events,YES,YES,NO,api.py;app/services/retrieve.py;security/anomaly_detection.py;services/retention_service.py;uploaded_doc/extractor.py,routers/admin_dashboard.py,created_at;id,details;event_type;ip_hash;user_id,id,-,event_type;id,P1,PROVEN
sef_log,YES,YES,NO,routers/sef.py,routers/sef.py,faktura_id;greska;id;poslato_at;sef_id;sef_status;user_id;xml_bytes,faktura_id;greska;sef_id;sef_status;user_id;xml_bytes,id,-,faktura_id;id;user_id,P0,PROVEN
sef_podesavanja,YES,YES,NO,routers/sef.py,routers/drafting.py;routers/sef.py,api_key;seller_adresa;seller_mesto;seller_naziv;seller_pib;updated_at;user_id,api_key;seller_adresa;seller_mesto;seller_naziv;seller_pib;updated_at;user_id,user_id,-,api_key;seller_naziv;seller_pib;user_id,P0,PROVEN
simulator_partije,YES,YES,NO,routers/strategy_simulator.py,routers/strategy_simulator.py,created_at;id;istorija;predmet_id;status;updated_at;user_id,id;istorija;predmet_id;status;updated_at;user_id,id,-,id;predmet_id;user_id,P0,PROVEN
smart_contract_analyses,YES,YES,NO,routers/web3.py,-,-,analysis_result;confidence_tier;contract_name;contract_source;is_proxy_detected;solidity_version;tokens_used;user_id,id,-,contract_source;created_at;id;is_proxy_detected;user_id,P0,PROVEN
staging_memory,YES,YES,NO,routers/drafting.py,routers/drafting.py,confidence_score;created_at;id;is_lawyer_approved;naziv;pinecone_indexed;predmet_id;status;tekst;tip;user_id,approved_at;approved_by;confidence_score;is_lawyer_approved;kancelarija_id;naziv;pinecone_indexed;predmet_id;quality_detail;status;tekst;tip;user_id,id,-,confidence_score;created_at;id;is_lawyer_approved;naziv;pinecone_indexed;predmet_id;quality_detail;status;tekst;tip;user_id,P0,PROVEN
status_incidents,YES,YES,NO,routers/status_page.py,routers/status_page.py,description;id;resolved_at;severity;started_at;title,description;resolved_at;severity;started_at;title,id,-,id;severity;started_at;title,P2,PROVEN
style_analize,YES,YES,NO,routers/style_checker.py,routers/style_checker.py,created_at;dokument_naziv;id;predmet_id;skor;user_id,dokument_naziv;predmet_id;profile_id;rezultat;skor;user_id,id,profile_id->style_profili.id,id;user_id,P0,PROVEN
style_profili,YES,YES,NO,routers/style_checker.py,routers/style_checker.py,aktivan;created_at;id;karakteristike;naziv;user_id;uzoraka,aktivan;karakteristike;naziv;user_id;uzoraka,id,-,id;naziv;user_id,P0,PROVEN
support_tickets,YES,YES,NO,routers/support.py,-,-,email;kategorija;kontekst;poruka;rating;user_id,id,-,created_at;id;kategorija;poruka,P0,PROVEN
system_state,YES,NO,NO,-,-,-,-,key,-,key;value,P3,PROVEN
tarife,YES,YES,NO,routers/tarife.py,routers/tarife.py,id;klijent_id;tarifa_po_satu;updated_at;user_id,klijent_id;tarifa_po_satu;user_id,id,klijent_id->klijenti.id,id;tarifa_po_satu;user_id,P1,PROVEN
tarifne_stavke_custom,YES,YES,NO,routers/tarife.py,routers/billing.py;routers/tarife.py,id;iznos;kod;naziv;user_id,iznos;kod;naziv;user_id,id,-,id;iznos;kod;user_id,P1,PROVEN
tier_config,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py;shared/tier_config.py,tier_key,extra_seat_price_eur;max_devices;updated_at;updated_by;yearly_price_eur,id,-,created_at;display_name;id;included_seats;is_active;monthly_price_eur;sort_order;tier_key;updated_at,P2,PROVEN
tier_config_audit,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py,changed_at;tier_key,changed_by;new_values;old_values;tier_key,id,-,changed_at;changed_by;id;tier_key,P1,PROVEN
timer_sessions,YES,YES,NO,routers/billing.py;routers/intake.py,routers/billing.py,aktivan;id;predmet_id;start_at;user_id,aktivan;opis;predmet_id;stop_at;tip;trajanje_s;user_id,id,predmet_id->predmeti.id,aktivan;id;predmet_id;start_at;user_id,P0,PROVEN
tos_acceptances,YES,YES,NO,routers/tos.py,routers/tos.py,accepted_at;id;user_id;version,accepted_at;ai_consent;user_id;version,id,-,accepted_at;ai_consent;id;user_id;version,P1,PROVEN
twin_simulacije,YES,YES,NO,routers/digital_twin.py,routers/digital_twin.py,created_at;predmet_id;tip;user_id,hipoteza;kljucne_tacke;optimalna_strategija;predmet_id;scenariji;tip;user_id,id,-,id;predmet_id;user_id,P0,PROVEN
uploaded_documents,YES,NO,NO,-,-,-,-,id,-,created_at;id;user_id,P0,PROVEN
usage_events,YES,YES,NO,routers/analytics.py;routers/voice.py;workers/background_agents.py,api.py;routers/analytics.py;routers/gdpr.py;routers/onboarding.py;routers/product_intelligence.py;tests/test_retention_service.py;workers/background_agents.py,action;created_at;feature;id;metadata;predmet_id;user_id,action;feature;meta;metadata;predmet_id;user_id,id,predmet_id->predmeti.id,action;created_at;feature;id;user_id,P1,PROVEN
user_activity_profile,NO,YES,NO,-,security/anomaly_detection.py,user_id,-,-,-,-,P0,PROVEN_ABSENT
user_credits,YES,YES,NO,api.py;shared/deps.py,api.py;shared/deps.py,credits_remaining;id;mesec;mesecno_korisceno;user_id,credits_remaining;user_id,id,-,created_at;credits_remaining;id;mesec;mesecno_korisceno;updated_at;user_id,P0,PROVEN
user_daily_activity,YES,YES,NO,security/anomaly_detection.py;services/retention_service.py,routers/proof.py,date;id;user_id,ai_calls;api_calls;date;ip_count;user_id,id,-,date;id;user_id,P0,PROVEN
user_knowledge,YES,YES,NO,routers/knowledge_base.py,routers/knowledge_base.py,created_at;id;naslov;predmet_id;sadrzaj;tagovi;user_id,naslov;predmet_id;sadrzaj;tagovi;updated_at;user_id,id,-,created_at;id;naslov;sadrzaj;updated_at;user_id,P0,PROVEN
user_roles,YES,YES,NO,klijenti/router.py,klijenti/permissions.py;klijenti/router.py,rola;user_id,rola;user_id,user_id,-,azurirano;kreirano;rola;user_id,P0,PROVEN
user_webhooks,YES,YES,NO,routers/integracije.py,routers/integracije.py,aktivan;created_at;events;id;naziv;secret;url;user_id,events;naziv;secret;url;user_id,id,-,aktivan;created_at;id;url;user_id,P0,PROVEN
v_manual_queue,YES,NO,NO,-,-,-,-,application_id,-,-,P3,PROVEN
v_qualified_jobs,YES,NO,NO,-,-,-,-,id,-,-,P3,PROVEN
waitlist,YES,YES,NO,routers/waitlist.py,routers/waitlist.py,created_at;email;id;status,created_at;email;firma;ime;poruka;status;telefon,id,-,email;id;ime,P2,PROVEN
webhooks,YES,YES,NO,routers/integrations.py,routers/integrations.py,aktivan;created_at;eventi;id;naziv;secret;url;user_id,aktivan;eventi;naziv;secret;url;user_id,id,-,id;secret;url;user_id,P0,PROVEN
whatsapp_pretplate,YES,YES,NO,routers/whatsapp_notif.py,routers/whatsapp_notif.py,aktivan;created_at;kanal;telefon;tip_notifikacija;user_id,aktivan;kanal;telefon;tip_notifikacija;user_id,id,-,id;telefon;user_id,P0,PROVEN
